CELL,GID,NAME,Lote de Producción,het_rate,dist_F5,dist_hembra,closer_to_hembra,ek_class
F6601 - P1A1,53002,F5,L-99-1,0.120673623308193,0.341405824604374,0.155526527068115,True,Self parent
F6601 - P1B1,53002,F5,L-99-1,0.33061266659778904,0.151669597806605,0.345686284136163,False,Pure hybrid
F6601 - P1B2,53002,F5,L-99-1,0.33268101761252444,0.153649787636484,0.35569265428885,False,Pure hybrid
F6601 - P1C1,53002,F5,L-99-1,0.32666322846828266,0.156801994217826,0.356929930058873,False,Pure hybrid
F6601 - P1C2,53002,F5,L-99-1,0.09158723580605056,0.353112655326954,0.191947485467767,True,Self parent
F6601 - P1D1,53002,F5,L-99-1,0.32980472764645397,0.160215643550912,0.359602152823399,False,Pure hybrid
F6601 - P1E1,53002,F5,L-99-1,0.33388242561515497,0.158025940212882,0.347403327393653,False,Pure hybrid
F6601 - P1F1,53002,F5,L-99-1,0.09278030616466694,0.345794914991601,0.187801147724178,True,Self parent
F6601 - P1G1,53002,F5,L-99-1,0.331996297439062,0.1540281169202,0.354075994083393,False,Pure hybrid
F6601 - P1H1,53002,F5,L-99-1,0.32869367976080005,0.160043964249479,0.358188665866893,False,Pure hybrid
F6602 - P1A3,53002,F5,L-99-1,0.10214441106391796,0.347336615807576,0.178417428795571,True,Self parent
F6602 - P1B3,53002,F5,L-99-1,0.3322344699701247,0.191188321367237,0.344310108379899,False,Pure hybrid
F6602 - P1C3,53002,F5,L-99-1,0.33295606543883116,0.158979699351206,0.352045786692185,False,Pure hybrid
F6602 - P1D2,53002,F5,L-99-1,0.31848644190122694,0.176467572902438,0.325056119552943,False,Pure hybrid
F6602 - P1D3,53002,F5,L-99-1,0.33535519687467874,0.159888181234551,0.351300172510708,False,Pure hybrid
F6602 - P1E2,53002,F5,L-99-1,0.3341246903385632,0.153162156719419,0.346135305056961,False,Pure hybrid
F6602 - P1E3,53002,F5,L-99-1,0.3308626724315421,0.154163652778278,0.34550528338709,False,Pure hybrid
F6602 - P1F2,53002,F5,L-99-1,0.33106224837410964,0.15636710258283,0.350118899207454,False,Pure hybrid
F6602 - P1G2,53002,F5,L-99-1,0.33906330416881114,0.159682696307228,0.350722273175363,False,Pure hybrid
F6602 - P1H2,53002,F5,L-99-1,0.33801790547574434,0.157279150027822,0.348932492961343,False,Pure hybrid
F6603 - P1A4,53002,F5,L-99-1,0.12719207757375695,0.334915921241445,0.162322128701706,True,Self parent
F6603 - P1B4,53002,F5,L-99-1,0.11835298986136975,0.341081132203187,0.172230853257192,True,Self parent
F6603 - P1C4,53002,F5,L-99-1,0.33926002055498455,0.154167448199963,0.340146534630884,False,Pure hybrid
F6603 - P1D4,53002,F5,L-99-1,0.14290142591444513,0.334632616647599,0.138389231619075,True,Self parent
F6603 - P1E4,53002,F5,L-99-1,0.32777091058920477,0.159779963411405,0.34512134651173,False,Pure hybrid
F6603 - P1F3,53002,F5,L-99-1,0.3301410771290289,0.154628331631297,0.357928097900762,False,Pure hybrid
F6603 - P1F4,53002,F5,L-99-1,0.1197190372895362,0.336206902482697,0.155412598083283,True,Self parent
F6603 - P1G3,53002,F5,L-99-1,0.3304544519843718,0.153840490685675,0.353937189350445,False,Pure hybrid
F6603 - P1G4,53002,F5,L-99-1,0.3340201936946219,0.156257139863926,0.352952907498454,False,Pure hybrid
F6603 - P1H3,53002,F5,L-99-1,0.329694098259347,0.156307041882939,0.353199493282986,False,Pure hybrid
F6604 - P1A5,53002,F5,L-99-1,0.3341926170344401,0.153453719914372,0.346393701782939,False,Pure hybrid
F6604 - P1A6,53002,F5,L-99-1,0.10318774580832127,0.347480846677786,0.177876151756434,True,Self parent
F6604 - P1B5,53002,F5,L-99-1,0.33292193767355754,0.159809839712827,0.358837727775339,False,Pure hybrid
F6604 - P1C5,53002,F5,L-99-1,0.316380109132091,0.174261149461726,0.348637789565502,False,Pure hybrid
F6604 - P1D5,53002,F5,L-99-1,0.3296330558125193,0.230952334461807,0.398718791088035,False,Outcross
F6604 - P1E5,53002,F5,L-99-1,0.3306244213558276,0.15456694652695,0.355906875060873,False,Pure hybrid
F6604 - P1F5,53002,F5,L-99-1,0.05929919137466308,0.35329147491784,0.21558601035769,True,Self parent
F6604 - P1G5,53002,F5,L-99-1,0.33755144032921813,0.153525024788341,0.345006181396212,False,Pure hybrid
F6604 - P1H4,53002,F5,L-99-1,0.08917856403889923,0.346364285779291,0.187794821426076,True,Self parent
F6604 - P1H5,53002,F5,L-99-1,0.3323390248919975,0.157493864530883,0.354487084770256,False,Pure hybrid
F6605 - P1A7,53002,F5,L-99-1,0.12174989682212134,0.339566974534191,0.166383500127843,True,Self parent
F6605 - P1B6,53002,F5,L-99-1,0.31065058253428185,0.171989205694992,0.353717472737168,False,Pure hybrid
F6605 - P1B7,53002,F5,L-99-1,0.3349429774992294,0.154664781887504,0.350346247658837,False,Pure hybrid
F6605 - P1C6,53002,F5,L-99-1,0.33000514668039116,0.162976107845561,0.353625599287989,False,Pure hybrid
F6605 - P1C7,53002,F5,L-99-1,0.33607399794450155,0.157539933576938,0.357021060687514,False,Pure hybrid
F6605 - P1D6,53002,F5,L-99-1,0.3176168464304057,0.23231736726616,0.334469421938958,False,Outcross
F6605 - P1E6,53002,F5,L-99-1,0.3214874330449114,0.171374454455681,0.342488821392481,False,Pure hybrid
F6605 - P1F6,53002,F5,L-99-1,0.33052415210688596,0.158618766079874,0.363392398394912,False,Pure hybrid
F6605 - P1G6,53002,F5,L-99-1,0.33456942727647304,0.156078892401254,0.348954833248112,False,Pure hybrid
F6605 - P1H6,53002,F5,L-99-1,0.3289149198520345,0.159546616672913,0.361216352198329,False,Pure hybrid
F6606 - P1A8,53002,F5,L-99-1,0.3371997536440156,0.155348643589566,0.356667351841424,False,Pure hybrid
F6606 - P1B8,53002,F5,L-99-1,0.32752756879315675,0.157939090553386,0.352180582185155,False,Pure hybrid
F6606 - P1C8,53002,F5,L-99-1,0.2719054956343092,0.222766224889822,0.396899961522667,False,Outcross
F6606 - P1D7,53002,F5,L-99-1,0.3307969151670951,0.155670799470418,0.353335726077158,False,Pure hybrid
F6606 - P1D8,53002,F5,L-99-1,0.3303195314908045,0.156683704745449,0.355782847025004,False,Pure hybrid
F6606 - P1E7,53002,F5,L-99-1,0.33333333333333337,0.157785482650587,0.348087724585355,False,Pure hybrid
F6606 - P1E8,53002,F5,L-99-1,0.33545997118748716,0.160842653476508,0.338589799663663,False,Pure hybrid
F6606 - P1F7,53002,F5,L-99-1,0.33511568123393315,0.155265129979401,0.349811861851751,False,Pure hybrid
F6606 - P1G7,53002,F5,L-99-1,0.31881820053530985,0.171653393175156,0.355798491761182,False,Pure hybrid
F6606 - P1H7,53002,F5,L-99-1,0.10492040520984082,0.340238851637257,0.168061810866658,True,Self parent
F6607 - P1A9,53002,F5,L-99-1,0.32820883202641354,0.158248837197704,0.355284426259168,False,Pure hybrid
F6607 - P1B9,53002,F5,L-99-1,0.32924945948728507,0.156137585992688,0.35436142906679,False,Pure hybrid
F6607 - P1C9,53002,F5,L-99-1,0.1379274718462651,0.339618385013957,0.15439577003752,True,Self parent
F6607 - P1D9,53002,F5,L-99-1,0.33364121510673234,0.265504737115458,0.426366844730795,False,Outcross
F6607 - P1E9,53002,F5,L-99-1,0.07937823834196892,0.34802903171092,0.191878095005655,True,Self parent
F6607 - P1F8,53002,F5,L-99-1,0.3353545734840699,0.157923480952829,0.355465735908214,False,Pure hybrid
F6607 - P1F9,53002,F5,L-99-1,0.3257536783619714,0.15727127643612,0.35975530309124,False,Pure hybrid
F6607 - P1G8,53002,F5,L-99-1,0.09282831418814032,0.343428043605349,0.179207816750045,True,Self parent
F6607 - P1G9,53002,F5,L-99-1,0.13424968995452666,0.344712523372885,0.157521373465759,True,Self parent
F6607 - P1H8,53002,F5,L-99-1,0.111341059602649,0.340918164333566,0.170587627834566,True,Self parent
F6608 - P1A10,53002,F5,L-99-1,0.3173733195449845,0.160286001905484,0.34544403497727,False,Pure hybrid
F6608 - P1A11,53002,F5,L-99-1,0.3406311028882722,0.153089019764378,0.340867096655654,False,Pure hybrid
F6608 - P1B10,53002,F5,L-99-1,0.3353225640497994,0.156639039923234,0.347866394203009,False,Pure hybrid
F6608 - P1C10,53002,F5,L-99-1,0.0660045520380716,0.35332004157401,0.199275254865691,True,Self parent
F6608 - P1D10,53002,F5,L-99-1,0.33158705701078584,0.157807521313938,0.354549326623064,False,Pure hybrid
F6608 - P1E10,53002,F5,L-99-1,0.33268101761252444,0.153457392708536,0.343616311369053,False,Pure hybrid
F6608 - P1F10,53002,F5,L-99-1,0.09333885838599398,0.345047479046828,0.179739793442203,True,Self parent
F6608 - P1G10,53002,F5,L-99-1,0.33504624871531347,0.160549812136409,0.354444360266716,False,Pure hybrid
F6608 - P1H10,53002,F5,L-99-1,0.3322351487696901,0.161067872116307,0.343559280599161,False,Pure hybrid
F6608 - P1H9,53002,F5,L-99-1,0.3352167659749333,0.157341311473164,0.359226548883226,False,Pure hybrid
F6609 - P1B11,53002,F5,L-99-1,0.3251445086705202,0.154925127356855,0.347813004321136,False,Pure hybrid
F6609 - P1C11,53002,F5,L-99-1,0.335217927631579,0.154126255476812,0.351923628140497,False,Pure hybrid
F6609 - P1D11,53002,F5,L-99-1,0.31120246659815004,0.174536280122881,0.342873364669718,False,Pure hybrid
F6609 - P1E11,53002,F5,L-99-1,0.33113197812403267,0.153967295813309,0.351793575649437,False,Pure hybrid
F6609 - P1F11,53002,F5,L-99-1,0.3337447289931091,0.156249766043172,0.355719546533562,False,Pure hybrid
F6610 - P1A12,53002,F5,L-99-1,0.3218604651162791,0.159442160191431,0.359580544292238,False,Pure hybrid
F6610 - P1B12,53002,F5,L-99-1,0.33415688696726376,0.15403882882987,0.351135783998599,False,Pure hybrid
F6610 - P1C12,53002,F5,L-99-1,0.3357341290256199,0.15386475133214,0.346332049523944,False,Pure hybrid
F6610 - P1G11,53002,F5,L-99-1,0.29544285567328465,0.193428967273098,0.309097283025255,False,Pure hybrid
F6610 - P1H11,53002,F5,L-99-1,0.33522025524907373,0.15842180702368,0.348824215388845,False,Pure hybrid
F6611 - P1D12,53002,F5,L-99-1,0.33343611882002266,0.153193845278564,0.355940288755974,False,Pure hybrid
F6611 - P1E12,53002,F5,L-99-1,0.3305929503648135,0.157274879348194,0.360742731304034,False,Pure hybrid
F6611 - P1F12,53002,F5,L-99-1,0.3326816217328668,0.158373244339516,0.355135367219629,False,Pure hybrid
F6611 - P1G12,53002,F5,L-99-1,0.3354254552937545,0.156645242509931,0.3407348533039,False,Pure hybrid
F6611 - P2A1,53002,F5,L-99-1,0.33097290640394084,0.161391283236661,0.358573529841897,False,Pure hybrid
F6612 - P2B1,53002,F5,L-99-1,0.323499177631579,0.164132362243788,0.325056323221153,False,Pure hybrid
F6612 - P2C1,53002,F5,L-99-1,0.33367609254498715,0.154293016908993,0.345380183285326,False,Pure hybrid
F6612 - P2D1,53002,F5,L-99-1,0.33648606970288886,0.153676366183471,0.348071564705255,False,Pure hybrid
F6612 - P2E1,53002,F5,L-99-1,0.33278638088401186,0.154775625430069,0.355376753238749,False,Pure hybrid
F6612 - P2F1,53002,F5,L-99-1,0.3340521667693572,0.169054044517098,0.35372280920177,False,Pure hybrid
F6613 - P2A2,53003,F5,L-99-2,0.19403447208174218,0.294142711543368,0.191788069098551,True,Self parent
F6613 - P2B2,53003,F5,L-99-2,0.33367683429513606,0.158451461533306,0.355033573260679,False,Pure hybrid
F6613 - P2G1,53003,F5,L-99-2,0.33319646889755694,0.154690310368831,0.351654955896712,False,Pure hybrid
F6613 - P2H1,53003,F5,L-99-2,0.3348406988694759,0.153889252421345,0.35111463371123,False,Pure hybrid
F6614 - P2C2,53003,F5,L-99-2,0.3348732163022277,0.155249000040055,0.348132442669003,False,Pure hybrid
F6614 - P2D2,53003,F5,L-99-2,0.33268342739866597,0.154771997421171,0.347335956034109,False,Pure hybrid
F6614 - P2E2,53003,F5,L-99-2,0.3312461506877438,0.154994960573493,0.354132164135233,False,Pure hybrid
F6614 - P2F2,53003,F5,L-99-2,0.33415561722684756,0.152254844054659,0.348181184097844,False,Pure hybrid
F6615 - P2B3,53003,F5,L-99-2,0.3357260049220672,0.154521941486023,0.354899534364114,False,Pure hybrid
F6615 - P2C3,53003,F5,L-99-2,0.32881773399014774,0.157541950111779,0.363957880399213,False,Pure hybrid
F6615 - P2G2,53003,F5,L-99-2,0.33658686941333604,0.166342873303805,0.341557886430594,False,Pure hybrid
F6615 - P2H2,53003,F5,L-99-2,0.3318279790618906,0.15283431520144,0.353977464091957,False,Pure hybrid
F6616 - P2D3,53003,F5,L-99-2,0.33535022049020613,0.156889958705377,0.351657368517738,False,Pure hybrid
F6616 - P2E3,53003,F5,L-99-2,0.3326488706365503,0.153260538319003,0.347143205638263,False,Pure hybrid
F6616 - P2F3,53003,F5,L-99-2,0.3195971637036276,0.16712521969621,0.341483642692542,False,Pure hybrid
F6616 - P2G3,53003,F5,L-99-2,0.3252442159383033,0.259008088898746,0.363822988404067,False,Outcross
F6617 - P2A4,53003,F5,L-99-2,0.3324435318275154,0.158184203068918,0.354681445358711,False,Pure hybrid
F6617 - P2B4,53003,F5,L-99-2,0.07526881720430108,0.348528841285974,0.198582630951484,True,Self parent
F6617 - P2C4,53003,F5,L-99-2,0.33733579638752054,0.156474554997365,0.351124150867707,False,Pure hybrid
F6617 - P2H3,53003,F5,L-99-2,0.14891203464989172,0.332071503878085,0.133743329461388,True,Self parent
F6618 - P2D4,53003,F5,L-99-2,0.34116078753076295,0.153998742192595,0.346118704667019,False,Pure hybrid
F6618 - P2E4,53003,F5,L-99-2,0.3324787201312686,0.153803079090465,0.360619326185767,False,Pure hybrid
F6618 - P2F4,53003,F5,L-99-2,0.3390474235269965,0.159446963801652,0.351986171368145,False,Pure hybrid
F6618 - P2G4,53003,F5,L-99-2,0.3349768875192604,0.158839773411519,0.350724374221309,False,Pure hybrid
F6619 - P2A5,53003,F5,L-99-2,0.33107622858315383,0.154871977001006,0.360459271911852,False,Pure hybrid
F6619 - P2B5,53003,F5,L-99-2,0.3321703437660339,0.16001925980256199,0.359804608427793,False,Pure hybrid
F6619 - P2C5,53003,F5,L-99-2,0.3336755646817249,0.155835632437326,0.354841953282317,False,Pure hybrid
F6619 - P2H4,53003,F5,L-99-2,0.33069896335830856,0.158291972769426,0.3563447815258,False,Pure hybrid
F6620 - P2D5,53003,F5,L-99-2,0.3357282151288104,0.155553828322429,0.358431485364575,False,Pure hybrid
F6620 - P2E5,53003,F5,L-99-2,0.23611682435211848,0.235885927625512,0.274594534439322,False,Outcross
F6620 - P2F5,53003,F5,L-99-2,0.2095228279913429,0.262183630797276,0.226664984540664,True,Self parent
F6621 - P2A6,53003,F5,L-99-2,0.08658322126823213,0.354883142517025,0.193666470494815,True,Self parent
F6621 - P2G5,53003,F5,L-99-2,0.3335043612108774,0.155070575619794,0.35773253268794,False,Pure hybrid
F6621 - P2H5,53003,F5,L-99-2,0.3323414734249949,0.158518700240441,0.354649930388759,False,Pure hybrid
F6622 - P2B6,53003,F5,L-99-2,0.3340174448435095,0.156920645478226,0.355373908570331,False,Pure hybrid
F6622 - P2C6,53003,F5,L-99-2,0.3344615384615385,0.152221542088189,0.349279498681635,False,Pure hybrid
